,id,install_date,installed,lat,locality,locked,lon,num_bikes,num_docks,num_empty,removal_date,temporary
131,1048,2010-07-15 14:40:00,True,51.511961,"Queen Victoria Street, St. Paul's",False,-0.097441,0,32,32,,False
132,3464,2010-07-15 15:47:00,True,51.512276,"Green Street, Mayfair",False,-0.157436,15,19,4,,False
133,1078,2010-07-15 15:51:00,True,51.494881,"Lambeth Road, Vauxhall",False,-0.117974,15,18,2,,False
134,1056,2010-07-15 15:53:00,True,51.520962,"Finsbury Square , Moorgate",False,-0.085634,9,33,24,,False
135,1003,2010-07-15 17:23:00,True,51.515308,"Chapel Place, Marylebone",False,-0.147203,19,29,10,,False
136,1001,2010-07-15 17:27:00,True,51.493724,"West Cromwell Road, Earl's Court",False,-0.198286,22,24,2,,False
137,1114,2010-07-15 17:30:00,True,51.496886,"Pont Street, Knightsbridge",False,-0.161203,16,23,7,,False
138,1093,2010-07-15 17:33:00,True,51.48894,"Kennington Cross, Kennington",False,-0.111435,45,47,2,,False
139,1115,2010-07-15 17:43:00,True,51.500743,"Ilchester Place, Kensington",False,-0.202759,2,24,22,,False
140,1046,2010-07-15 17:46:00,True,51.488365,"Vauxhall Bridge , Pimlico",False,-0.129361,3,35,32,,False
141,965,,True,51.492111,"Tachbrook Street, Victoria",False,-0.138364,16,16,0,,False
142,1073,2010-07-15 18:36:00,True,51.484788,"Kennington Road Post Office, Oval",False,-0.110683,17,18,1,,False
143,1002,2010-07-15 18:39:00,True,51.497056,"Holy Trinity Brompton, Knightsbridge",False,-0.168917,6,28,22,,False
144,1120,2010-07-15 18:42:00,True,51.512136,"Chepstow Villas, Notting Hill",False,-0.201554,2,26,24,,False
145,1118,2010-07-15 18:45:00,True,51.49217,"Hampton Street, Walworth",False,-0.101536,21,21,0,,False
146,1096,2010-07-15 18:48:00,True,51.511933,"Bayswater Road, Hyde Park",False,-0.174411,10,27,17,,False
147,1072,,True,51.503791,"Waterloo Station 3, Waterloo",False,-0.112824,23,34,10,,False
148,1121,2010-07-16 10:31:00,True,51.495866,"Lexham Gardens, Kensington",False,-0.191933,3,19,16,,False
